Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
408,Myles Turner\turnemy01,C,20,IND,43,43,30.1,5.9,11.2,.531,0.7,1.6,.400,5.3,9.5,.554,.560,3.2,4.0,.807,1.5,6.0,7.6,1.0,0.7,2.3,1.4,3.3,15.7
409,Beno Udrih\udrihbe01,PG,34,DET,27,0,15.4,2.5,5.5,.459,0.4,1.0,.357,2.1,4.4,.483,.493,0.9,1.0,.923,0.2,1.2,1.4,3.3,0.3,0.0,0.9,0.7,6.3
410,Tyler Ulis\ulisty01,PG,21,PHO,29,0,9.1,1.3,3.3,.381,0.1,0.4,.273,1.2,3.0,.395,.397,0.4,0.5,.786,0.2,0.5,0.7,1.1,0.7,0.0,0.7,0.8,3.0
411,Jonas Valanciunas\valanjo01,C,24,TOR,42,42,27.0,4.8,9.0,.534,0.0,0.0,,4.8,9.0,.534,.534,2.4,2.8,.862,3.2,6.8,10.0,0.7,0.5,0.8,1.4,2.8,12.0
412,Denzel Valentine\valende01,SG,23,CHI,27,0,11.9,1.1,3.6,.320,0.8,2.5,.313,0.4,1.1,.333,.428,0.3,0.3,.875,0.1,1.6,1.6,0.6,0.5,0.1,0.6,1.0,3.3
413,Fred VanVleet\vanvlfr01,PG,22,TOR,14,0,6.4,1.0,2.5,.400,0.3,0.7,.400,0.7,1.8,.400,.457,0.0,0.1,.000,0.1,0.7,0.8,0.7,0.6,0.0,0.1,0.6,2.3
414,Anderson Varejao\varejan01,C,34,GSW,11,1,6.6,0.3,0.9,.300,0.0,0.0,,0.3,0.9,.300,.300,0.6,0.8,.778,1.0,1.1,2.1,0.7,0.2,0.2,0.6,0.9,1.2
415,Greivis Vasquez\vasqugr01,PG,30,BRK,3,0,13.0,0.7,2.7,.250,0.3,1.0,.333,0.3,1.7,.200,.313,0.7,1.0,.667,0.0,0.7,0.7,1.7,0.3,0.3,0.3,2.0,2.3
416,Rashad Vaughn\vaughra01,SG,20,MIL,19,0,10.5,1.6,4.0,.395,0.9,2.4,.378,0.7,1.6,.419,.507,0.0,0.0,,0.0,0.9,0.9,0.3,0.4,0.2,0.2,0.6,4.1
417,Noah Vonleh\vonleno01,PF,21,POR,38,6,12.1,1.3,3.1,.410,0.2,0.5,.350,1.1,2.6,.423,.440,0.6,1.0,.622,1.1,2.5,3.6,0.2,0.3,0.4,0.7,1.5,3.3
418,Nikola Vucevic\vucevni01,C,26,ORL,43,23,28.0,6.2,13.0,.472,0.3,0.9,.282,5.9,12.1,.487,.482,1.1,1.7,.622,2.2,7.6,9.8,2.8,0.9,1.0,1.6,2.3,13.7
419,Sasha Vujacic\vujacsa01,SG,32,NYK,23,2,8.5,0.7,2.2,.340,0.4,1.3,.300,0.3,0.9,.400,.430,0.3,0.4,.778,0.1,1.1,1.3,0.9,0.3,0.0,0.4,0.8,2.2
420,Dwyane Wade\wadedw01,SG,35,CHI,40,40,30.5,6.9,16.3,.423,0.9,2.8,.313,6.0,13.5,.446,.450,4.1,5.1,.798,1.1,3.1,4.2,3.8,1.4,0.7,2.2,1.9,18.7
421,Dion Waiters\waitedi01,SG,25,MIA,25,22,30.0,5.7,14.1,.403,1.5,4.0,.370,4.2,10.1,.417,.456,1.7,2.6,.652,0.4,2.8,3.2,3.7,0.9,0.4,2.1,2.4,14.6
422,Kemba Walker\walkeke02,PG,26,CHO,44,44,33.8,8.2,17.9,.458,2.8,6.9,.414,5.3,11.0,.486,.538,3.8,4.6,.822,0.6,3.5,4.1,5.4,1.2,0.2,2.3,1.6,23.0
423,John Wall\walljo01,PG,26,WAS,42,42,36.4,8.5,18.3,.462,1.1,3.4,.315,7.4,14.9,.496,.492,5.0,6.1,.825,0.9,3.6,4.5,10.2,2.2,0.5,4.3,2.0,23.0
424,Taurean Waller-Prince\princta02,SF,22,ATL,26,0,10.4,1.2,3.2,.378,0.3,1.2,.290,0.8,2.0,.431,.433,0.8,0.8,.909,0.2,1.7,1.9,0.7,0.3,0.3,0.7,1.1,3.5
425,T.J. Warren\warretj01,SF,23,PHO,31,24,29.1,5.6,12.2,.459,0.5,1.7,.278,5.1,10.5,.489,.479,1.8,2.4,.767,1.6,2.0,3.6,1.0,1.3,0.3,0.8,2.6,13.5
426,C.J. Watson\watsocj01,PG,32,ORL,34,2,13.8,0.9,3.1,.299,0.4,1.5,.294,0.5,1.6,.304,.369,0.6,0.8,.769,0.2,1.1,1.3,1.4,0.5,0.0,0.6,0.9,2.9
427,David West\westda01,PF,36,GSW,42,0,11.5,1.7,3.2,.545,0.0,0.1,.500,1.7,3.1,.546,.552,0.6,0.8,.743,0.6,2.1,2.7,2.1,0.7,0.5,1.0,1.4,4.1
428,Russell Westbrook\westbru01,PG,28,OKC,45,45,34.7,10.0,23.8,.421,2.0,6.3,.326,8.0,17.5,.456,.464,8.7,10.6,.824,1.8,8.8,10.6,10.4,1.6,0.3,5.5,2.4,30.8
429,Okaro White\whiteok01,PF,24,MIA,3,0,12.7,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.3,0.3,1.000,0.3,1.3,1.7,0.0,0.3,0.0,0.7,1.0,1.7
430,Isaiah Whitehead\whiteis01,PG,21,BRK,36,23,22.5,2.7,6.8,.400,0.6,1.9,.314,2.1,4.9,.434,.445,1.0,1.3,.761,0.3,2.3,2.5,2.8,0.6,0.6,2.1,2.7,7.0
431,Hassan Whiteside\whiteha01,C,27,MIA,41,41,33.6,7.2,13.0,.552,0.0,0.0,,7.2,13.0,.552,.552,2.7,4.9,.552,3.8,10.4,14.2,0.7,0.8,2.0,2.1,3.1,17.1
432,Andrew Wiggins\wiggian01,SF,21,MIN,44,44,37.0,8.0,17.9,.448,1.2,3.5,.342,6.8,14.4,.473,.481,4.6,6.3,.732,1.2,3.1,4.3,2.4,0.8,0.4,2.5,2.2,21.8
433,C.J. Wilcox\wilcocj01,SG,26,ORL,16,0,4.7,0.3,1.1,.294,0.1,0.8,.167,0.2,0.3,.600,.353,0.1,0.1,1.000,0.1,0.4,0.6,0.6,0.1,0.1,0.3,0.3,0.9
434,Alan Williams\willial03,PF,24,PHO,16,0,7.2,1.2,2.1,.559,0.0,0.0,,1.2,2.1,.559,.559,0.6,1.1,.500,1.5,1.6,3.1,0.1,0.4,0.5,0.5,1.6,2.9
435,Deron Williams\willide01,PG,32,DAL,36,36,30.4,5.1,11.9,.431,1.6,4.7,.349,3.5,7.2,.484,.500,1.9,2.3,.817,0.4,2.4,2.8,7.1,0.6,0.1,2.5,2.5,13.7
436,Derrick Williams\willide02,PF,25,MIA,23,11,16.0,2.3,5.9,.393,0.4,1.9,.205,1.9,4.0,.484,.426,1.3,2.2,.620,0.7,2.4,3.1,0.6,0.4,0.2,0.5,1.3,6.3
437,Lou Williams\willilo02,SG,30,LAL,48,1,24.3,5.5,12.6,.432,1.9,5.2,.373,3.5,7.5,.472,.508,5.1,5.8,.871,0.2,2.0,2.2,3.0,1.1,0.2,2.1,1.1,17.9
438,Marvin Williams\willima02,PF,30,CHO,39,39,27.0,3.8,9.5,.401,1.8,4.8,.367,2.1,4.7,.435,.493,1.3,1.6,.839,1.1,4.5,5.5,1.3,0.6,0.5,0.7,1.4,10.7
439,Reggie Williams\willire02,SF,30,NOP,5,0,12.6,1.4,4.0,.350,1.0,2.0,.500,0.4,2.0,.200,.475,1.2,1.4,.857,0.4,0.8,1.2,0.8,0.6,0.0,0.0,0.4,5.0
440,Troy Williams\willitr02,SF,22,MEM,24,13,17.4,2.1,5.1,.418,0.4,1.7,.244,1.7,3.4,.506,.459,0.6,1.0,.600,0.3,1.6,1.8,0.8,1.0,0.4,1.1,1.8,5.3
441,Kyle Wiltjer\wiltjky01,PF,24,HOU,9,0,3.2,0.3,1.1,.300,0.3,1.1,.300,0.0,0.0,,.450,0.1,0.2,.500,0.3,0.4,0.8,0.0,0.0,0.1,0.3,0.3,1.1
442,Justise Winslow\winslju01,SF,20,MIA,18,15,34.7,4.4,12.6,.354,0.4,1.9,.200,4.1,10.6,.382,.369,1.6,2.6,.617,1.3,3.9,5.2,3.7,1.5,0.3,1.8,2.9,10.9
443,Jeff Withey\witheje01,C,26,UTA,27,0,8.3,0.9,1.6,.571,0.0,0.0,.000,0.9,1.5,.585,.571,0.7,1.0,.769,0.8,1.4,2.3,0.1,0.3,0.7,0.3,1.0,2.5
444,Christian Wood\woodch01,PF,21,CHO,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
445,Metta World Peace\artesro01,SF,37,LAL,17,1,4.6,0.3,1.5,.200,0.1,0.9,.133,0.2,0.6,.300,.240,0.2,0.4,.667,0.2,0.4,0.5,0.3,0.2,0.1,0.2,0.8,0.9
446,James Young\youngja01,SG,21,BOS,11,0,5.8,0.5,1.3,.429,0.2,0.6,.286,0.4,0.6,.571,.500,0.0,0.0,,0.2,0.8,1.0,0.3,0.3,0.0,0.1,0.2,1.3
447,Joe Young\youngjo01,PG,24,IND,21,0,5.4,1.0,2.9,.350,0.2,1.0,.200,0.8,1.9,.425,.383,0.4,0.6,.692,0.0,0.6,0.7,0.6,0.2,0.0,0.2,0.2,2.6
448,Nick Young\youngni01,SG,31,LAL,41,41,26.4,4.7,10.5,.445,2.9,6.9,.416,1.8,3.7,.500,.581,1.4,1.7,.855,0.5,1.7,2.2,1.0,0.6,0.3,0.6,2.3,13.7
449,Thaddeus Young\youngth01,PF,28,IND,44,44,31.4,5.0,9.5,.526,1.0,2.3,.427,4.0,7.1,.559,.579,0.7,1.3,.561,1.5,4.7,6.2,1.7,1.7,0.5,1.6,1.8,11.7
450,Cody Zeller\zelleco01,PF,24,CHO,38,36,26.9,4.2,7.2,.590,0.0,0.0,,4.2,7.2,.590,.590,2.4,3.5,.689,2.3,4.2,6.6,1.4,0.7,1.1,1.2,3.2,10.9
451,Tyler Zeller\zellety01,C,27,BOS,27,5,12.1,1.8,3.8,.466,0.0,0.0,.000,1.8,3.8,.471,.466,0.6,0.9,.625,1.1,1.9,2.9,0.9,0.2,0.6,0.4,1.3,4.1
452,Stephen Zimmerman\zimmest01,C,20,ORL,8,0,4.0,0.6,1.4,.455,0.0,0.0,,0.6,1.4,.455,.455,0.0,0.1,.000,0.5,1.3,1.8,0.1,0.1,0.1,0.0,0.1,1.3
453,Paul Zipser\zipsepa01,SF,22,CHI,15,3,10.9,0.9,3.0,.311,0.4,1.3,.316,0.5,1.7,.308,.378,0.6,0.9,.692,0.3,1.5,1.8,0.4,0.1,0.0,0.6,0.7,2.9
454,Ivica Zubac\zubaciv01,C,19,LAL,13,1,10.1,1.5,3.4,.455,0.0,0.0,,1.5,3.4,.455,.455,0.5,0.6,.750,0.9,1.8,2.8,0.4,0.3,0.5,0.5,1.0,3.5
